id_transaccion,id_cliente,monto,fecha,id_tienda,id_clientes,edad,preferencias,geolocalizacion,Timestamp,ingresos,puntos_lealtad,gastos_mensuales,pais,ingresos_norm,puntos_lealtad_norm,gastos_mensuales_norm,segmento_cliente,monto_mxn,monto_eur,PC1,PC2,PC3,cluster
1,27,5347.575,2013-11-08,3,27,88,alfareria,Rusia,2018-11-15,34060.07,10.0,7627.45,Nicaragua,0.6750664830885239,0.0010003000900270082,0.7604576414872236,Estándar Senior,92406.1,4588.22,-0.045605203427901024,1.614137964300669,2.2911640262543984,0
4,27,10855.4,2015-09-21,2,27,88,alfareria,Rusia,2018-11-15,34060.07,10.0,7627.45,Nicaragua,0.6750664830885239,0.0010003000900270082,0.7604576414872236,Premium Senior,187581.31,9313.93,3.284141664537185,1.784077991150594,2.180152280012341,0
5,71,5347.575,2009-08-16,5,71,61,acampar,Perú,1985-10-06,26522.74,4080.0,1198.73,Rusia,0.5211408257013757,0.4081224367310193,0.11088399012613129,Estándar Senior,92406.1,4588.22,-0.1757657389082596,1.1929908063322456,-1.0270158706107915,0
8,31,9614.75,2012-11-26,17,31,74,tecnologia,Ucrania,2007-07-01,26761.95,2587.0,4159.47,Desconocido,0.5260259184999635,0.258777633289987,0.41004442836746713,Premium Senior,166142.88,8249.46,2.472888019301908,1.1909043630514253,0.249371609926642,0
9,9,852.38,,3,9,41,historia,Perú,,19613.31,5189.0,8120.63,Afganistán,0.3800380008389266,0.5190557167150145,0.8102897594482273,Básico,14729.13,731.34,-2.6668000389815827,-1.4788479418185,1.0846766384499662,3
11,81,4666.55,2013-10-13,10,81,24,"comida,viajes",Chile,2002-01-18,42091.31,1638.0,9942.47,Desconocido,0.8390786593676519,0.16384915474642392,0.9943729456805864,Estándar Joven,80637.98,4003.9,-0.374191534087317,0.5877974668841457,3.1853731162492895,1
12,44,6204.13,1993-12-11,20,44,38,escultura,Perú,1999-11-04,14330.7,808.0,5096.815,Desconocido,0.2721577279876751,0.08082424727418225,0.5047560683572416,Estándar Senior,107207.37,5323.14,0.45901660576376996,-0.02113823584193529,1.440279532611517,1
14,37,7435.99,2001-08-10,11,37,47,futbol,Argelia,1997-04-14,25644.82,3122.0,6719.96,Rusia,0.5032121409903009,0.31229368810643193,0.6687626239917226,Premium Senior,128493.91,6380.08,1.2437073042747593,0.048717789791467125,1.1937243253836756,1
15,79,3863.96,,3,79,82,carpinteria,Rusia,2007-08-15,39321.84,1292.0,5096.815,Canadá,0.7825211661487023,0.12923877163148945,0.5047560683572416,Estándar Senior,66769.23,3315.28,-1.0134703638558284,2.1471113170573264,1.1606131408181284,0
17,79,5347.575,1997-08-09,1,79,82,carpinteria,Rusia,2007-08-15,39321.84,1292.0,5096.815,Canadá,0.7825211661487023,0.12923877163148945,0.5047560683572416,Estándar Senior,92406.1,4588.22,-0.11655336587740417,2.1928871987572327,1.1307104706969544,0
18,17,9217.76,1996-02-28,9,17,45,escultura,Australia,2022-09-10,29429.56,7161.0,9984.75,Desconocido,0.5805032497170564,0.7163148944683405,0.9986450206783383,Premium Senior,159282.89,7908.84,2.4391224849522763,-1.3271164393306352,0.9210282452424535,1
19,28,6773.97,1993-02-16,12,28,57,videojuegos,México,2012-10-15,25644.82,7902.0,8062.11,Corea del Sur,0.5032121409903009,0.7904371311393418,0.8043767549811404,Estándar Senior,117054.2,5812.07,0.9159270955387875,-1.3076908359798933,-0.06121404638256374,1
20,8,8019.97,1986-09-14,16,8,78,el yesero,Rusia,1986-01-23,19178.43,6014.0,7080.82,Ucrania,0.3711569793254035,0.6015804741422427,0.7052248043060252,Premium Senior,138585.08,6881.13,1.6324438661486984,-0.8518864097697009,-0.02731911488560934,2
21,29,5295.22,1983-05-12,11,29,84,futbol,Francia,2007-01-07,23378.88,7475.0,4330.2,Desconocido,0.45693762413886485,0.7477243172951885,0.4272954067110377,Estándar Senior,91501.4,4543.3,-0.09229842481274551,-0.2991421704613345,-1.3870288496706344,2
22,43,8212.07,2005-07-08,6,43,28,videojuegos,Sudafrica,1987-07-02,4662.35,1541.0,5096.815,Japón,0.07471285963256326,0.15414624387316195,0.5047560683572416,Premium Joven,141904.57,7045.96,1.7002313531412254,-0.969998483198681,1.1499325903641062,1
23,60,4384.61,1997-02-10,3,60,80,porrismo,Costa Rica,1992-08-29,25644.82,1195.0,3256.57,Desconocido,0.5032121409903009,0.11953586075822746,0.31881319574045425,Estándar Senior,75766.06,3762.0,-0.7253458472341969,1.5460367175419527,0.462350950833421,0
24,7,3590.72,1990-04-10,4,7,74,pesca,Estados Unidos,2009-10-29,39562.37,5141.0,5336.54,Nicaragua,0.7874332156902949,0.5142542762828849,0.5289784708841113,Estándar Senior,62047.64,3080.84,-1.1400053606630849,1.0899926974594139,0.01855582900803141,3
25,38,5347.575,2011-05-25,14,38,30,pasear,Afganistan,2011-10-08,43847.11,735.0,5886.29,Japón,0.8749352119188014,0.07352205661698509,0.5845265605249357,Estándar Joven,92406.1,4588.22,-0.0910268113865298,1.9193214835985946,2.103476301659429,0
26,7,5374.03,2005-10-02,2,7,74,pesca,Estados Unidos,2009-10-29,39562.37,5141.0,5336.54,Nicaragua,0.7874332156902949,0.5142542762828849,0.5289784708841113,Estándar Senior,92863.24,4610.92,-0.061907771171428046,1.1450154786406823,-0.01738729242869112,0
27,17,5347.575,1997-03-16,10,17,45,escultura,Australia,2022-09-10,29429.56,7161.0,9984.75,Desconocido,0.5805032497170564,0.7163148944683405,0.9986450206783383,Estándar Senior,92406.1,4588.22,0.09940737804899463,-1.4465282937012136,0.9990329314920623,1
28,62,8074.17,,3,62,45,carpinteria,Canadá,2000-12-31,5600.87,7719.0,7628.95,Afganistán,0.09387910390885026,0.7721316394918476,0.7606092051697361,Premium Senior,139521.66,6927.64,1.7303180250654857,-2.761895521650757,-0.25244489464378916,2
29,22,3286.03,2009-02-14,11,22,69,acampar,Costa Rica,1997-12-29,26794.98,8642.0,965.88,Canadá,0.5267004497283291,0.8644593378013404,0.08735625447744377,Estándar Senior,56782.6,2819.41,-1.3964062774183374,0.19203074205073808,-2.6774028611094356,3
31,1,10712.2,1984-04-21,11,1,82,acampar,Desconocida,1984-12-25,37424.31,4687.0,8629.5,Estados Unidos,0.7437702354263066,0.4688406521956587,0.8617072335283116,Premium Senior,185106.82,9191.07,3.257883592576894,0.6195579986998252,1.0181693363155966,0
32,47,3955.06,1988-12-31,7,47,77,manga,Alemania,2000-09-07,14066.86,1075.0,5245.62,Canadá,0.26676964687075105,0.10753225967790336,0.5197916908747547,Estándar Senior,68343.44,3393.44,-0.9057312669168021,0.2218277781489516,1.0814787977030336,1
