Customer_ID,Timestamp,ingresos,puntos_lealtad,gastos_mensuales,pais
1,25/12/1984,37424.31,4687.0,8629.5,us
2,03/07/1986,43515.24,3384.0,499.8,corea
3,13/08/1985,36744.61,7600.0,3094.07,jap
4,07/01/1986,5205.68,7693.0,4795.67,mx
5,,29732.96,,4736.71,Japon
6,,29969.51,8188.0,4904.51,ucraia
7,29/10/2009,39562.37,5141.0,5336.54,nicaragua
8,23/01/1986,19178.43,6014.0,7080.82,UCRANIA
9,,19613.31,5189.0,8120.63,afganistan
10,28/02/2002,,2419.0,7028.93,corea
11,27/08/1997,28927.91,,719.41,Canadá
12,06/04/2003,20503.56,5286.0,1077.28,Japon
13,25/09/1999,29536.9,,7254.89,mx
14,,49553.23,967.0,3581.3,
15,18/04/2009,7389.32,9865.0,2347.66,Ucrania
16,09/03/2016,49152.05,,,rusia
17,10/09/2022,29429.56,7161.0,9984.75,China
18,30/04/2015,3891.28,,6148.62,USA
19,04/12/1992,46451.23,,2417.43,Argentina
20,16/06/1989,11339.44,5382.0,9996.17,NICA
21,05/01/2003,16439.02,9906.0,7776.44,mex
22,29/12/1997,26794.98,8642.0,965.88,canada
23,08/01/2002,42085.42,2603.0,8741.42,PE CAUSA
24,17/07/1996,45732.16,5431.0,1743.06,Canadá
25,02/03/2003,,6777.0,7116.51,india
26,11/12/1984,14385.05,6187.0,9789.93,argentinaAfganistan
27,15/11/2018,34060.07,10.0,7627.45,Nicaragua
28,15/10/2012,,7902.0,8062.11,COREA
29,07/01/2007,23378.88,7475.0,4330.2,RUS
30,,3493.65,1062.0,9497.82,rusia
31,01/07/2007,26761.95,2587.0,4159.47,PE CAUSA
32,20/04/2007,22126.5,9195.0,9997.56,Ind
33,02/12/1999,26890.4,6081.0,,Ucrania
34,09/03/1986,23253.77,9413.0,4640.8,AFG
35,06/04/1984,49598.9,1950.0,,rusia
36,30/08/2022,45915.86,9862.0,,peruColombia
37,14/04/1997,,3122.0,6719.96,Rusia
38,08/10/2011,43847.11,735.0,5886.29,japon
39,19/06/2023,20135.54,7268.0,4409.75,afganistan
40,,44627.91,6820.0,2580.23,USA
41,11/11/2014,,8041.0,1479.18,COL
42,21/04/1986,16171.03,6467.0,7682.1,peruColombia
43,02/07/1987,4662.35,1541.0,,japon
44,04/11/1999,14330.7,808.0,,Ind
45,,18247.94,6601.0,6962.73,japon
46,14/04/2015,32215.89,3533.0,,Argentina
47,07/09/2000,14066.86,1075.0,5245.62,canada
48,22/08/1986,,8101.0,8979.48,COREA
49,15/10/1993,17112.55,2966.0,8762.58,ucraia
50,15/04/2008,3133.64,,336.01,india
51,,36396.76,2340.0,7773.72,China
52,12/10/1983,22383.92,8691.0,9738.13,rusia
53,05/09/2007,26447.36,2917.0,3592.23,RUS
54,08/12/2009,26311.56,9241.0,3529.69,afganistan
55,23/03/2002,39580.37,6061.0,823.58,RUS
56,22/02/1989,,,5279.53,Peru
57,30/12/1983,36551.28,1600.0,7601.86,Peru
58,28/02/2009,4783.93,7548.0,7312.84,corea
59,10/06/2020,26207.97,7474.0,8877.55,PE CAUSA
60,29/08/1992,,1195.0,3256.57,peruColombia
61,13/09/2014,47393.68,5714.0,3848.69,Canadá
62,31/12/2000,5600.87,7719.0,7628.95,afganistan
63,26/03/1992,10054.74,7611.0,4405.1,india
64,01/07/1998,10068.06,1345.0,1376.29,canada
65,02/08/2024,16955.73,8898.0,2043.61,españa
66,01/07/1987,49377.04,,319.78,Japon
67,03/05/2021,36324.19,4202.0,5285.25,nicaragua
68,05/11/2010,16741.3,4210.0,1741.83,nicaragua
69,01/07/1989,23224.1,6010.0,1118.41,CHINA
70,18/07/2015,10930.67,384.0,2175.26,COREA
71,06/10/1985,26522.74,4080.0,1198.73,rusia
72,08/12/2023,11236.15,678.0,9910.42,jap
73,03/06/2000,22942.22,6797.0,173.19,COL
74,,13446.62,,4053.1,CHINA
75,29/09/2024,45447.92,3235.0,1154.26,corea
76,28/12/1999,13722.23,9881.0,1788.23,rusia
77,,11935.41,1457.0,6688.03,PE CAUSA
78,21/11/1995,6760.73,9285.0,7092.54,COREA
79,15/08/2007,39321.84,1292.0,,canada
80,25/09/2004,47555.83,3376.0,9812.03,corea
81,18/01/2002,42091.31,1638.0,9942.47,ES
82,24/11/2019,3466.88,6028.0,472.32,CA
83,10/02/2007,34857.09,7773.0,6972.94,mex
84,,3247.41,6532.0,1909.15,USA
85,01/01/2023,31357.85,,2975.83,us
86,06/01/2015,26377.22,2053.0,1333.56,mex
87,10/01/2008,,1007.0,9830.81,Argentina
88,12/10/2023,18414.42,9159.0,2215.83,AFG
89,,23209.42,7491.0,9031.56,Japon
90,10/01/2024,33078.74,322.0,5871.52,Argentina
91,09/09/2013,11311.42,,5572.91,canada
